epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.1088,0.98312,1.95143,0.98259,0.70706,0.60878,0.67024,0.48005,0.97258,1.85974,0.93887,0.000413043,0.000413043,0.000413043
2,57.9036,0.93883,1.12576,0.99144,0.42863,0.55223,0.45155,0.31431,0.91946,1.99269,0.97251,0.000796854,0.000796854,0.000796854
3,84.1697,0.90956,1.00489,0.9847,0.81957,0.69221,0.74593,0.53542,0.85638,0.99473,0.9496,0.00114766,0.00114766,0.00114766
4,112.361,0.90941,0.91345,0.98033,0.75936,0.59642,0.66066,0.47422,0.88747,1.53021,0.94752,0.0011015,0.0011015,0.0011015
5,139.941,0.8436,0.77355,0.95845,0.85987,0.71342,0.79436,0.58196,0.79757,0.76375,0.92251,0.001052,0.001052,0.001052
6,165.653,0.83012,0.72488,0.95156,0.84246,0.6629,0.75683,0.59443,0.71166,0.73102,0.87827,0.0010025,0.0010025,0.0010025
7,193.712,0.80022,0.66733,0.9406,0.80322,0.77547,0.81717,0.59228,0.74882,0.67506,0.88724,0.000953,0.000953,0.000953
8,221.139,0.77843,0.63407,0.93705,0.78949,0.79974,0.82194,0.62702,0.70352,0.6117,0.89075,0.0009035,0.0009035,0.0009035
9,250.163,0.74154,0.57452,0.92505,0.90669,0.80337,0.85615,0.64305,0.69944,0.56232,0.87986,0.000854,0.000854,0.000854
10,277.533,0.72662,0.56291,0.9164,0.89467,0.80537,0.85988,0.65563,0.69628,0.60493,0.86993,0.0008045,0.0008045,0.0008045
11,305.493,0.71873,0.53906,0.91844,0.90803,0.84778,0.88411,0.65037,0.709,0.52208,0.88315,0.000755,0.000755,0.000755
12,332.548,0.69001,0.51503,0.90493,0.82292,0.80129,0.82818,0.64191,0.65084,0.54181,0.86081,0.0007055,0.0007055,0.0007055
13,360.194,0.70003,0.51266,0.90757,0.94752,0.7889,0.87472,0.65379,0.67403,0.47643,0.87282,0.000656,0.000656,0.000656
14,385.197,0.67081,0.48059,0.89405,0.91647,0.82929,0.86779,0.64416,0.69319,0.51146,0.88087,0.0006065,0.0006065,0.0006065
15,412.159,0.66723,0.4715,0.89878,0.90472,0.82465,0.87703,0.68114,0.63932,0.45037,0.86474,0.000557,0.000557,0.000557
16,440.57,0.60701,0.40619,0.85485,0.92788,0.80198,0.87384,0.67899,0.66176,0.44794,0.87225,0.0005075,0.0005075,0.0005075
17,465.513,0.60176,0.39533,0.85654,0.95205,0.84962,0.90298,0.70406,0.62311,0.40656,0.85654,0.000458,0.000458,0.000458
18,491.158,0.58822,0.37846,0.84832,0.87478,0.85547,0.86448,0.67263,0.64792,0.42001,0.86615,0.0004085,0.0004085,0.0004085
19,517.344,0.56738,0.35908,0.841,0.9074,0.83194,0.88473,0.68437,0.60962,0.39885,0.85658,0.000359,0.000359,0.000359
20,541.249,0.54848,0.3458,0.83716,0.91599,0.80712,0.85452,0.66064,0.60411,0.40069,0.85214,0.0003095,0.0003095,0.0003095
21,567.327,0.54392,0.34085,0.8346,0.88748,0.86975,0.87781,0.69232,0.59085,0.38275,0.84458,0.00026,0.00026,0.00026
22,593.276,0.52364,0.31991,0.82668,0.87798,0.87191,0.88018,0.68999,0.58761,0.37719,0.84309,0.0002105,0.0002105,0.0002105
